guessWord,genreHint,directorsHint,studioHint 
Song Of The Sea,"Animation, Kids & Family, Science Fiction & Fantasy",Tomm Moore,GKIDS
Song of the Thin Man,"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense","Edward Buzzell, Edward N. Buzzell",MGM Home Entertainment
Song One,"Drama, Romance",Kate Barker-Froyland,Film Arcade
The Song Remains The Same,"Documentary, Musical & Performing Arts","Peter Clifton, Joe Massot",WARNER BROTHERS PICTURES
Song to Song,"Comedy, Drama",Terrence Malick,Broad Green Pictures
Song Without End,"Classics, Drama, Musical & Performing Arts","George Cukor, Charles Vidor",Sony Pictures Entertainment
Songcatcher,"Drama, Musical & Performing Arts, Romance",Maggie Greenwald,Lions Gate
Songs From The North,"Documentary, Special Interest",Soon-Mi Yoo,Kino Lorber
Songs My Brothers Taught Me,Drama,Chloé Zhao,Highwayman Films
Soni,"Art House & International, Drama",Ivan Ayr,Jabberwockee Talkies
The Sons of Katie Elder,"Action & Adventure, Drama, Western",Henry Hathaway,Paramount Pictures
Sons of Perdition,"Documentary, Special Interest","Tyler Measom, Jennilyn Merten",In Exhile Films
Sophie and the Rising Sun,Drama,Maggie Greenwald,Monterey Media
Sophie's Choice,"Drama, Romance",Alan J. Pakula,Twentieth Century Fox Home Entertainment
The Sorcerers,Horror,Michael Reeves,Global
The Sorcerer's Apprentice,"Action & Adventure, Comedy, Drama, Kids & Family, Science Fiction & Fantasy","Jon Turtletaub, Jon Turteltaub",Walt Disney Studios
Sordid Lives,"Comedy, Drama",Del Shores,Regent Entertainment
Sorority Boys,Comedy,Wallace Wolodarsky,Touchstone Pictures
Sorority Row,Horror,Stewart Hendler,Summit Entertainment
"Sorry, Haters","Drama, Mystery & Suspense",Jeff Stanzler,IFC Films
Sorry to Bother You,"Comedy, Science Fiction & Fantasy",Boots Riley,Annapurna Pictures
Soul Boys Of The Western World,"Documentary, Musical & Performing Arts, Special Interest",George Hencken,IFC Films
Soul Man,Comedy,Steve Miner,New World Video
Soul on a String,"Art House & International, Drama",Zhang Yang,
Soul Plane,Comedy,Jessy Terrero,MGM
Soul Power,"Documentary, Musical & Performing Arts",Jeffrey Levy-Hinte,Sony Pictures Classics
Soul Surfer,"Action & Adventure, Drama, Sports & Fitness",Sean McNamara,TriStar/FilmDistrict
Soul Survivors,"Comedy, Horror, Mystery & Suspense",Stephen Carpenter,Artisan Entertainment
SoulMate,"Art House & International, Drama, Romance",Derek Tsang,Cheng Cheng Films
Sound and Fury,"Documentary, Special Interest",Josh Aronson,Artistic License Films
Sound City,"Documentary, Musical & Performing Arts",Dave Grohl,Variance Films
The Sound of Music,"Classics, Drama, Kids & Family, Musical & Performing Arts",Robert Wise,20th Century-Fox
Sound of My Voice,"Drama, Mystery & Suspense",Zal Batmanglij,20th Century Fox
Sound of Noise,"Action & Adventure, Art House & International, Comedy, Musical & Performing Arts, Mystery & Suspense, Romance","Ola Simonsson, Johannes Stjaerne Nilsson",Magnolia Pictures
Sound of Redemption: The Frank Morgan Story,Documentary,N.C. Heikin,Hieronymus Pictures
A Sound of Thunder,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy","Ben Kingsley, Peter Hyams",Warner Bros.
Soundtrack For A Revolution,"Documentary, Musical & Performing Arts","Dan Sturman, Bill Guttentag",Docurama
Sour Grapes,Comedy,Larry David,Warner Home Video
Source Code,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Duncan Jones,Summit Entertainment
South Central,"Drama, Mystery & Suspense",Steve Anderson,Warner Home Video
"South of Heaven, West of Hell","Action & Adventure, Art House & International, Drama, Western",Dwight Yoakam,Phaedra Cinema
South of the Border,"Documentary, Special Interest",Oliver Stone,Cinema Libre
South Pacific,"Classics, Drama, Musical & Performing Arts, Special Interest, Romance",Joshua Logan,Twentieth Century Fox Home Entertainment
"South Park: Bigger, Longer & Uncut","Animation, Comedy, Musical & Performing Arts, Special Interest",Trey Parker,Paramount Pictures
Southbound,"Horror, Mystery & Suspense, Science Fiction & Fantasy","David Bruckner, Patrick Horvath, Roxanne Benjamin",
Southern Baptist Sissies,"Comedy, Drama",Del Shores,Beard Collins Shores Productions
The Southerner,"Classics, Drama",Jean Renoir,VCI
Southie,"Action & Adventure, Drama, Mystery & Suspense",John Shea,Lionsgate
Southland Tales,"Comedy, Musical & Performing Arts, Mystery & Suspense, Science Fiction & Fantasy",Richard Kelly,Samuel Goldwyn Films
Southlander: Diary of a Desperate Musician,"Comedy, Drama, Musical & Performing Arts, Special Interest",Steven Hanft,MVD Music Video
Southpaw,Drama,Antoine Fuqua,The Weinstein Company
Southside With You,"Drama, Romance",Richard Tanne,Miramax and Roadside Attractions
Soylent Green,"Classics, Drama, Mystery & Suspense, Science Fiction & Fantasy",Richard Fleischer,WARNER BROTHERS PICTURES
Space Chimps 2: Zartog Strikes Back,"Animation, Kids & Family",John H. Williams,20th Century Fox
Space Cowboys,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Clint Eastwood,Warner Bros. Pictures
Space Jam,"Comedy, Kids & Family",Joe Pytka,Warner Home Video
Space Station 76,"Comedy, Drama, Science Fiction & Fantasy",Jack Plotnick,Sony Pictures
Space Truckers,"Art House & International, Comedy, Science Fiction & Fantasy",Stuart Gordon,Sterling Entertainment
Spaceballs,"Comedy, Science Fiction & Fantasy, Special Interest",Mel Brooks,MGM
Spaced Invaders,"Comedy, Science Fiction & Fantasy",Patrick Read Johnson,Touchstone Pictures
Spacehunter: Adventures in the Forbidden Zone,Science Fiction & Fantasy,Lamont Johnson,Columbia Pictures
Spaceman,Drama,Brett Rapkin,Podium Pictures
Spanglish,"Comedy, Drama",James L. Brooks,Sony Pictures Entertainment
Spanish Lake,Documentary,Phillip Andrew Morton,
The Spanish Prisoner,"Drama, Mystery & Suspense",David Mamet,Sony Pictures Classics
Spare Parts,"Drama, Kids & Family",Sean McNamara,Pantelion Films
Spark: A Burning Man Story,"Documentary, Special Interest","Jessie Deeter, Steve Brown",Paladin Films
Spark: A Space Tail,"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy",Aaron Woodley,Open Road Films
Sparkle,Comedy,"Tom Hunsinger, Neil Hunter",Revolver Entertainment
Sparkle,"Drama, Musical & Performing Arts",Salim Akil,Sony Pictures
Sparks,"Action & Adventure, Drama, Mystery & Suspense","Todd Burrows, Christopher Folino",
Spartan,"Action & Adventure, Art House & International, Mystery & Suspense",David Mamet,Warner Bros. Pictures
Spawn,"Action & Adventure, Animation, Horror, Mystery & Suspense, Science Fiction & Fantasy",Mark A.Z. Dippé,New Line Home Entertainment
Speak,Drama,"Paul Galichia, Brian Weidling",Laemmle
Speak The Music: Robert Mann And The Mysteries Of Chamber Music,Documentary,Allan Miller,First Run Features
Special,Drama,"Hal Haberman, Jeremy Passmore",Magnet Releasing
Special Correspondents,Comedy,Ricky Gervais,Netflix
Una Giornata Particolare (A Special Day),"Art House & International, Drama, Romance",Ettore Scola,
Special Effects,"Drama, Horror, Mystery & Suspense",Larry Cohen,New Line Cinema
Special Forces,"Action & Adventure, Drama",Stéphane Rybojad,Entertainment One
Special ID,"Action & Adventure, Drama, Mystery & Suspense","Clarence Yiu-leung Fok, Clarence Fok",Well Go USA
Special Treatment,"Art House & International, Drama",Jeanne Labrune,First Run Features
Species,Science Fiction & Fantasy,Roger Donaldson,MGM Home Entertainment
Species II,"Mystery & Suspense, Science Fiction & Fantasy",Peter Medak,MGM
Species III,"Drama, Science Fiction & Fantasy",Brad Turner,MGM
Spectre,Action & Adventure,Sam Mendes,Sony Pictures
Speech & Debate,"Comedy, Drama",Dan Harris,Sycamore Pictures
Speed,"Action & Adventure, Mystery & Suspense",Jan de Bont,20th Century Fox
Speed 2 - Cruise Control,"Action & Adventure, Mystery & Suspense",Jan de Bont,Fox
Speed-Dating,Comedy,Joseph A. Elmore Jr.,Rockstone Releasing
Speed Kills,Action & Adventure,Jodi Scurfield,Saban Films
Speed Racer,"Action & Adventure, Drama","Lilly Wachowski, Lana Wachowski",Warner Bros. Pictures
Speed Sisters,Documentary,Amber Fares,SocDoc Studios
Speedway Junky,"Action & Adventure, Art House & International, Drama",Nickolas Perry,Regent Releasing
Speedy,"Action & Adventure, Comedy",Ted Wilde,Criterion Collection
Breakaway,"Art House & International, Comedy, Drama",Robert H. Lieberman,Eros International
Sphere,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Barry Levinson,Warner Home Video
Spice World,Comedy,Bob Spiers,Sony Pictures Entertainment
Spider Baby,"Classics, Comedy, Horror",Jack Hill,Johnny Legend Cinemania
Spider in the Web,"Drama, Mystery & Suspense",Eran Riklis,Vertical Entertainment
Spider-Man: Far From Home,"Action & Adventure, Science Fiction & Fantasy",Jon Watts,Sony Pictures
Spider-Man: Homecoming,"Action & Adventure, Drama, Science Fiction & Fantasy",Jon Watts,Sony Pictures
Spider-Man: Into the Spider-Verse,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy","Bob Persichetti, Peter Ramsey, Rodney Rothman",Sony Pictures
Spiderhole,"Art House & International, Horror, Mystery & Suspense",Daniel Simpson,IFC Midnight
Spider-Man,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Sam Raimi,Columbia Pictures
Spider-Man 2,"Action & Adventure, Science Fiction & Fantasy",Sam Raimi,Sony Pictures
Spider-Man 3,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Sam Raimi,Sony Pictures
Spiders,Mystery & Suspense,Tibor Takács,Nu Image Films/Millenium Entertainment
"Spiders, Part 1: The Golden Lake (Die Spinnen, 1. Teil - Der Goldene See)","Action & Adventure, Western",Fritz Lang,
The Spiderwick Chronicles,"Action & Adventure, Drama, Science Fiction & Fantasy",Mark Waters (VIII),Paramount Pictures
Spies Like Us,"Action & Adventure, Comedy, Mystery & Suspense",John Landis,Warner Home Video
Spike Island,Drama,Mat Whitecross,Level 33 Entertainment/Alchemy
Spin Out,"Comedy, Romance","Tim Ferguson, Marc Gracie",Stella Rose Productions
Spine Tingler: The William Castle Story,"Documentary, Television",Jeffrey Schwarz,Automat Pictures
Spinning Into Butter,Drama,Mark Brokaw,Screen Media Films
Spinning Man,Mystery & Suspense,Simon Kaijser,Lionsgate Premiere
Spinning Plates,"Documentary, Special Interest",Joseph Levy,The Film Arcade
Spiral,Documentary,Laura Fairrie,Cohen Media Group
The Spirit of '76,"Comedy, Musical & Performing Arts, Science Fiction & Fantasy",Lucas Reiner,Sony Pictures Home Entertainment
The Spirit of St. Louis,"Action & Adventure, Classics, Drama",Billy Wilder,Warner Home Video
Spirit - Stallion of the Cimarron,"Animation, Drama, Kids & Family","Lorna Cook, Kelly Asbury",DreamWorks SKG
Spirit Trap,Horror,David Smith,First Look Home Entertainment
The Spitfire Grill,Drama,Lee David Zlotoff,Sony Pictures Home Entertainment
Splendor in the Grass,"Classics, Drama, Romance",Elia Kazan,Warner Home Video
Splintered,"Horror, Mystery & Suspense",Simeon Halligan,Not a Number
Splinters,"Documentary, Sports & Fitness",Adam Pesce,Snag Films
Split,"Drama, Horror, Mystery & Suspense",M. Night Shyamalan,Universal Pictures
Spoken Word,Drama,Victor Nuñez,Variance Films
The Spongebob Squarepants Movie,"Animation, Comedy, Kids & Family, Special Interest",,Paramount Pictures
Spork,"Comedy, Drama",J.B. Guhman,Independent Pictures
Spotlight,"Drama, Mystery & Suspense",Tom McCarthy,Open Road Films
Spread,Comedy,David Mackenzie,Anchor Bay
Spring,"Horror, Science Fiction & Fantasy, Romance","Aaron Moorhead, Justin Benson",Drafthouse Films
Spring Breakdown,Comedy,Ryan Shiraki,WARNER BROTHERS PICTURES
Spring Breakers,"Action & Adventure, Art House & International, Comedy, Cult Movies, Drama",Harmony Korine,A24 Films
Spring Forward,Drama,Tom Gilroy,MGM Home Entertainment
"Spring, Summer, Fall, Winter...and Spring","Art House & International, Drama",Kim Ki-duk,Sony Pictures Classics
Springsteen And I,"Documentary, Musical & Performing Arts, Special Interest",Baillie Walsh,NCM Fathom
Springsteen on Broadway,"Documentary, Musical & Performing Arts",Thom Zimny,Netflix
Springtime in a Small Town (Xiao cheng zhi chun),"Art House & International, Drama",Tian Zhuangzhuang,Palm Pictures
Sprinter,Drama,Storm Saulter,FilmRise
Spun,"Comedy, Drama",Jonas Åkerlund,Newmarket Films
Spy,Comedy,Paul Feig,20th Century Fox
Spy Game,"Action & Adventure, Drama, Mystery & Suspense",Tony Scott,Universal Pictures
Spy Hard,"Action & Adventure, Comedy",Rick Friedberg,Hollywood Pictures
Spy Kids,"Action & Adventure, Comedy, Kids & Family, Mystery & Suspense",Robert Rodriguez,Dimension Films
Spy Kids 2: The Island of Lost Dreams,"Action & Adventure, Kids & Family, Mystery & Suspense",Robert Rodriguez,Dimension Films
Spy Kids 3-D - Game Over,"Action & Adventure, Comedy, Kids & Family, Mystery & Suspense",Robert Rodriguez,Dimension Films
Spy Kids: All the Time in the World in 4D,"Action & Adventure, Comedy, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",,Weinstein Company
The Spy Next Door,"Action & Adventure, Comedy",Brian Levant,Lionsgate
The Spy Who Loved Me,"Action & Adventure, Mystery & Suspense",Lewis Gilbert,United Artists
Squanto: A Warrior's Tale,"Action & Adventure, Drama, Kids & Family","Xavier Koller, Christopher Stoia",Walt Disney Productions
Square Grouper: The Godfathers of Ganja,"Comedy, Documentary, Drama, Special Interest",Billy Corben,Magnolia Pictures
The Squid and the Whale,"Art House & International, Drama",Noah Baumbach,Samuel Goldwyn Films
St. Agatha,"Horror, Mystery & Suspense",,Uncork'd Entertainment
St. Bernard Syndicate,"Art House & International, Comedy",Mads Brügger,Uncork'd Entertainment
St. Elmo's Fire,"Drama, Romance",Joel Schumacher,Sony Pictures Home Entertainment
St. Ives,Mystery & Suspense,J. Lee Thompson,WARNER BROTHERS PICTURES
St. Trinian's,Comedy,"Barnaby Thompson, Oliver Parker",NeoClassics Films
St Trinian's II: The Legend of Fritton's Gold,"Action & Adventure, Comedy","Oliver Parker, Barnaby Thompson",PreviewNetworks
St. Vincent,Comedy,Ted Melfi,The Weinstein Company
Stage Beauty,"Comedy, Drama, Romance",Richard Eyre,Lions Gate Films
Stage Door,"Classics, Comedy, Drama",Gregory La Cava,Warner Home Video
Stage Fright,Horror,Jerome Sable,Entertainment One
Stake Land,Horror,Jim Mickle,IFC
Stalag 17,"Action & Adventure, Classics, Comedy, Drama",Billy Wilder,Paramount Home Video
Stalingrad,"Action & Adventure, Art House & International, Drama","Fyodor Bondarchuk, Fedor Bondarchuk",Sony Pictures
Stan Helsing,"Comedy, Horror",Bo Zenga,Anchor Bay Entertainment
Stand by Me,"Action & Adventure, Drama",Rob Reiner,MCA Universal Home Video
Stand Clear Of The Closing Doors,Drama,Sam Fleischner,Oscilloscope Pictures
Stand Up Guys,"Comedy, Drama",Fisher Stevens,Lionsgate
Standard Operating Procedure,"Documentary, Special Interest",Errol Morris,Sony Pictures Classics
Standing in the Shadows of Motown,"Documentary, Musical & Performing Arts",Paul Justman,Artisan Entertainment
Standing Ovation,Musical & Performing Arts,Stewart Raffill,Rocky Mountain Pictures
Standoff,"Action & Adventure, Drama",Adam Alleca,First Point Entertainment
Stanley & Iris,"Drama, Romance",Martin Ritt,MGM Home Entertainment
Stanley Kubrick: A Life in Pictures,"Documentary, Special Interest, Television",Jan Harlan,DocComTV
Star 80,Drama,Bob Fosse,Warner Home Video
The Star Chamber,"Drama, Mystery & Suspense",Peter Hyams,Twentieth Century Fox Home Entertainment
Star Kid,"Kids & Family, Science Fiction & Fantasy",Manny Coto,Trimark
Star Maps,Drama,Miguel Arteta,Twentieth Century Fox Home Entertainment
Star Trek,"Action & Adventure, Drama, Science Fiction & Fantasy",J.J. Abrams,IMAX
Star Trek Beyond,"Action & Adventure, Drama, Science Fiction & Fantasy",Justin Lin,Paramount Pictures
Star Trek: First Contact,"Action & Adventure, Science Fiction & Fantasy",Jonathan Frakes,Paramount Pictures
Star Trek Generations,"Action & Adventure, Drama, Science Fiction & Fantasy",David Carson,Paramount Pictures
Star Trek II: The Wrath of Khan,"Action & Adventure, Science Fiction & Fantasy",Nicholas Meyer,Paramount Pictures
Star Trek III - The Search for Spock,"Action & Adventure, Science Fiction & Fantasy",Leonard Nimoy,Paramount Pictures
Star Trek: Insurrection,"Action & Adventure, Science Fiction & Fantasy",Jonathan Frakes,Paramount Pictures
Star Trek Into Darkness,Science Fiction & Fantasy,J.J. Abrams,Paramount
Star Trek IV - The Voyage Home,"Action & Adventure, Comedy, Science Fiction & Fantasy",Leonard Nimoy,Paramount Pictures
Star Trek - Nemesis,"Action & Adventure, Science Fiction & Fantasy",Stuart Baird,Paramount Pictures
Star Trek: The Motion Picture,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Robert Wise,Paramount Home Video
Star Trek V - The Final Frontier,"Action & Adventure, Science Fiction & Fantasy",William Shatner,Paramount Pictures
Star Trek VI - The Undiscovered Country,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Nicholas Meyer,Paramount Pictures
Star Wars: Episode IV - A New Hope,"Action & Adventure, Drama, Science Fiction & Fantasy",George Lucas,20th Century Fox
Star Wars: Episode I - The Phantom Menace,"Cult Movies, Kids & Family, Science Fiction & Fantasy",George Lucas,20th Century Fox
Star Wars: Episode II - Attack of the Clones,"Cult Movies, Science Fiction & Fantasy",George Lucas,20th Century Fox
Star Wars: Episode III - Revenge of the Sith,"Action & Adventure, Drama, Science Fiction & Fantasy",George Lucas,20th Century Fox
Star Wars: Episode VI - Return of the Jedi,"Action & Adventure, Drama, Science Fiction & Fantasy",Richard Marquand,Twentieth Century Fox
Star Wars: Episode VII - The Force Awakens,"Action & Adventure, Science Fiction & Fantasy",J.J. Abrams,Walt Disney Pictures
Star Wars: The Last Jedi,"Action & Adventure, Drama, Science Fiction & Fantasy",Rian Johnson,Walt Disney Pictures
Starbuck,"Art House & International, Comedy",Ken Scott (V),Entertainment One
Starcrash,Science Fiction & Fantasy,Luigi Cozzi,New World
Stardust,"Action & Adventure, Drama, Science Fiction & Fantasy",Matthew Vaughn,Paramount Pictures
Stardust Memories,"Comedy, Drama",Woody Allen,United Artists
Starfish,"Drama, Horror, Science Fiction & Fantasy",A.T. White,We Are Tessellate
Stargate,"Action & Adventure, Science Fiction & Fantasy",Roland Emmerich,Artisan Home Entertainment
Stark Raving Mad,"Action & Adventure, Comedy, Drama, Mystery & Suspense","Drew Daywalt, David Schneider",Sony Pictures Home Entertainment
Starlet,"Comedy, Drama",Sean Baker (II),Music Box Films
Starman,"Drama, Science Fiction & Fantasy, Romance",John Carpenter,Columbia Pictures
Starred Up,Drama,David Mackenzie,Tribeca Films
Starry Eyes,"Horror, Science Fiction & Fantasy","Dennis Widmyer, Kevin Kölsch",MPI Media Group
The Stars Fell on Henrietta,Drama,James Keach,Warner Home Video
Starship Troopers,"Action & Adventure, Cult Movies, Science Fiction & Fantasy",Paul Verhoeven,Sony Pictures Home Entertainment
Starship Troopers 2: Hero of the Federation,Science Fiction & Fantasy,Phil Tippett,Tippett Studio
Starship Troopers 3: Marauder,"Action & Adventure, Horror, Mystery & Suspense, Science Fiction & Fantasy","Edward Neumeier, Ed Neumeier",Sony Entertainment
Starsky & Hutch,"Action & Adventure, Comedy, Drama",Todd Phillips,Warner Bros. Pictures
Start The Revolution Without Me,"Classics, Comedy, Special Interest",Bud Yorkin,eRealBiz
Starter for 10,"Comedy, Drama, Romance",Tom Vaughan,Picturehouse
Starting Out in the Evening,"Art House & International, Drama",Andrew Wagner,Roadside Attractions
Starting Over,"Comedy, Romance",Alan J. Pakula,Paramount Pictures
Startup.com,"Documentary, Special Interest","Chris Hegedus, Jehane Noujaim",Artisan Entertainment
State and Main,Comedy,David Mamet,Fine Line Features
State Like Sleep,Mystery & Suspense,Meredith Danluck,The Orchard
State of the Union,"Classics, Comedy, Drama",Frank Capra,MGM
State Property,"Action & Adventure, Drama, Mystery & Suspense",Abdul Malik Abbott,Lions Gate Films
State Property 2,"Action & Adventure, Drama",Damon Dash,Lions Gate Films
The Statement,"Drama, Horror, Mystery & Suspense",Norman Jewison,Sony Pictures Classics
Stateside,"Drama, Romance",Reverge Anselmo,IDP Films
The Station Agent,"Art House & International, Comedy, Drama",Tom McCarthy,Miramax Films
Stations of the Cross,"Art House & International, Drama",Dietrich Brüggemann,Film Movement
Stations of the Elevated,"Documentary, Musical & Performing Arts, Special Interest",Manfred Kirchheimer,Artist Public Domain
Status Update,Comedy,Scott Speer,Vertical Entertainment
Stay,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Marc Forster,20th Century Fox
Stay,Drama,Wiebke von Carolsfeld,Gravitas Ventures
Stay Cool,Comedy,Ted Smith,Cinedigm Films
Stay Human,Documentary,Michael Franti,
Stay Hungry,"Comedy, Drama",Bob Rafelson,MGM
Stay Tuned,Comedy,Peter Hyams,Warner Home Video
Staying Alive,"Drama, Musical & Performing Arts, Romance",Sylvester Stallone,Paramount Home Video
Steal a Pencil for Me,"Documentary, Special Interest, Romance",Michèle Ohayon,7th Art Releasing
Steal This Movie,"Art House & International, Comedy, Drama",Robert Greenwald,LionsGate Entertainment
Stealing Beauty,"Drama, Romance",Bernardo Bertolucci,Fox Searchlight Pictures
Stealing Harvard,Comedy,Bruce McCulloch,Columbia Pictures
Stealing Home,Drama,"Steven Kampmann, Will Aldis",Warner Home Video
Steam,Drama,Kyle Schickner,WARNER BROTHERS PICTURES
Steamboat Bill Jr.,"Action & Adventure, Classics, Comedy","Buster Keaton, Charles Reisner",United Artists
Steamboy,"Animation, Art House & International, Drama, Science Fiction & Fantasy",Katsuhiro Ôtomo,Sony Pictures Entertainment
Steel City,"Art House & International, Drama",Brian Jun,Your Half Pictures
The Steel Helmet,"Action & Adventure, Classics, Drama",Samuel Fuller,Criterion Collection
Steel Magnolias,"Comedy, Drama",Herbert Ross,Sony Pictures Home Entertainment
Steelyard Blues,"Classics, Comedy",Alan Myerson,Warner Home Video
Steep,"Documentary, Sports & Fitness",Mark Obenhaus,Sony Pictures Classics
Stella Days,"Art House & International, Drama",Thaddeus O'Sullivan,Tribeca Film
Stella Street,"Art House & International, Comedy, Drama, Television",Peter Richardson,Sony Pictures
Stella's Last Weekend,Comedy,Polly Draper,Paladin
La sindrome di Stendhal (The Stendhal Syndrome),"Art House & International, Horror, Mystery & Suspense",Dario Argento,Troma
Step Into Liquid,"Documentary, Sports & Fitness",Dana Brown,Artisan Entertainment
Step Sisters,Comedy,Charles Stone III,Netflix
Step Up,Drama,Anne Fletcher,Buena Vista
Step Up 2 the Streets,"Drama, Romance",Jon M. Chu,Touchstone Pictures
Step Up 3,"Drama, Musical & Performing Arts, Romance","Ken Seng, Jon M. Chu",Touchstone Pictures
Step Up: All In,"Drama, Musical & Performing Arts, Romance",Trish Sie,Lionsgate
Step Up Revolution,"Drama, Musical & Performing Arts, Romance",Scott Speer,Summit Entertainment
The Stepfather,"Horror, Mystery & Suspense",Joseph Ruben,Nelson Entertainment
Stepfather II,Horror,"Jeff Burr, Joseph Ruben",ITC Entertainment
The Stepford Wives,"Comedy, Drama, Mystery & Suspense, Science Fiction & Fantasy",Frank Oz,Paramount Pictures
Stephen King's It,"Horror, Mystery & Suspense, Television",Tommy Lee Wallace,Warner Home Video
Stephen King's A Good Marriage,Mystery & Suspense,Peter Askin,Screen Media Ventures
Stephen King's 'Graveyard Shift',Horror,Ralph S. Singleton,Paramount Home Video
Stephen King's 'Silver Bullet',Horror,Daniel Attias,Paramount Home Video
Stephen King's 'The Langoliers',"Horror, Science Fiction & Fantasy, Television",Tom Holland,Republic Pictures Home Video
Stephen Tobolowsky's Birthday Party,"Comedy, Documentary, Drama, Television",Robert Brinkmann,The Brinkman Company
Stepmom,"Comedy, Drama",Chris Columbus,TriStar Pictures
The Sterile Cuckoo (Pookie),"Comedy, Drama, Romance",Alan J. Pakula,Paramount Pictures
Steve + Sky,"Art House & International, Comedy, Drama, Romance",Felix Van Groeningen,Kinepolis Film Distribution
Steve Jobs,Drama,Danny Boyle,Universal Pictures
Steve Jobs: Man in the Machine,Documentary,Alex Gibney,Magnolia Pictures
Steve Jobs: The Lost Interview,"Documentary, Special Interest","Jonathan Challis, Susan Crook, John Coffey, Ian Lynch",Magnolia Pictures
Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life,Comedy,Marcus Raboy,Netflix
Steve McQueen: The Man & Le Mans,"Documentary, Television, Sports & Fitness",Gabriel Clarke,FilmRise
Stevie,"Documentary, Special Interest",Steve James (II),Lions Gate Releasing
Stevie Nicks: In Your Dreams,"Documentary, Musical & Performing Arts",,Abramorama
Stick,"Action & Adventure, Drama, Mystery & Suspense",Burt Reynolds,MCA Universal Home Video
Stick It,"Comedy, Drama",Jessica Bendinger,Buena Vista
Stigmata,"Drama, Horror",Rupert Wainwright,MGM
Still Alice,Drama,"Richard Glatzer, Wash Westmoreland",Sony Pictures Classics
Still Bill,"Documentary, Musical & Performing Arts, Special Interest","Damani Baker, Alex Vlack",B-Side Entertainment
Still Breathing,"Comedy, Romance",James F. Robinson,October Films
Still Crazy,"Comedy, Musical & Performing Arts, Romance",Brian Gibson,Sony Pictures Entertainment
Still Mine,Drama,Michael McGowan,Samuel Goldwyn Films
Still of the Night,"Drama, Mystery & Suspense",Robert Benton,MGM
Still Smokin',"Comedy, Horror, Musical & Performing Arts",Tommy Chong,Paramount Pictures
Still/Born,"Horror, Mystery & Suspense",Brandon Christensen,Vertical Entertainment
The Sting II,Comedy,Jeremy Kagan,MCA Universal Home Video
Stink!,Documentary,"Jon J. Whelan, Jon Whelan",Area 23a
Stir Crazy,Comedy,Sidney Poitier,Columbia Pictures
Stir of Echoes,"Horror, Mystery & Suspense",David Koepp,Artisan Entertainment
Stitch! The Movie,"Animation, Comedy, Kids & Family","Tony Craig, Robert Gannaway",Walt Disney Television Animation
Stitches,"Art House & International, Drama, Horror",Adiya Imri Orr,MPI Media Group/Dark Sky Films
Stoker,"Drama, Horror, Mystery & Suspense",Chan-wook Park,Fox Searchlight Pictures
Stolen,"Documentary, Musical & Performing Arts",Rebecca Dreyfus,IFC Films
Stolen,"Action & Adventure, Drama, Mystery & Suspense",Simon West,Millennium Entertainment
Stolen Seas,"Documentary, Special Interest",Thymaya Payne,Independent Pictures
Stolen Summer,"Comedy, Drama",Pete Jones,Miramax Films
Stomp the Yard,Drama,Sylvain White,Screen Gems
Stone,"Drama, Mystery & Suspense",John Curran,Overture Films
The Stone Boy,"Action & Adventure, Drama",Christopher Cain,Anchor Bay Entertainment
Stone Bros,Comedy,Richard Frankland,WARNER BROTHERS PICTURES
Stoned,Drama,Stephen Woolley,Screen Media Films
Stonewall,Drama,Roland Emmerich,Roadside Attractions
The Stoning of Soraya M.,Drama,Cyrus Nowrasteh,Roadside Attractions
Stop-Loss,Drama,Kimberly Peirce,Paramount Pictures
Stop Making Sense,"Documentary, Musical & Performing Arts",Jonathan Demme,Palm Pictures
Stop! Or My Mom Will Shoot,"Action & Adventure, Comedy",Roger Spottiswoode,MCA Universal Home Video
Stop The Pounding Heart,Drama,Roberto Minervini,Big World Pictures
Storage 24,"Horror, Science Fiction & Fantasy",Johannes Roberts,Magnolia Pictures
Stories We Tell,Documentary,Sarah Polley,Roadside Attractions
Storks,"Animation, Comedy, Kids & Family","Nicholas Stoller, Doug Sweetland",Warner Bros. Pictures
Storm Surfers 3D,"Action & Adventure, Documentary, Sports & Fitness","Chris Nelius, Justin McMillan",Vitagraph Films
Stormy Monday,"Art House & International, Drama, Mystery & Suspense",Mike Figgis,British Screen Productions
Story of a Love Affair (Cronaca di un amore),"Art House & International, Classics, Drama, Romance",Michelangelo Antonioni,Villani Film
The Story of Us,"Comedy, Drama, Romance",Rob Reiner,Universal Pictures
