,guessWord,genreHint,directorsHint,studioHint,sentenceInfo
12721,Snow Angels,Drama,David Gordon Green,Warner Independent,4_6
12722,Snow Day,"Comedy, Kids & Family",Chris Koch,Paramount Pictures,4_3
12723,Snow Dogs,"Action & Adventure, Comedy, Kids & Family",Brian Levant,Buena Vista Distribution Compa,4_4
12724,Snow Falling on Cedars,"Drama, Romance",Scott Hicks,Universal Studios,4_7_2_6
12725,Snow Flower And The Secret Fan,"Art House & International, Drama",Wayne Wang,Fox Searchlight,4_6_3_3_6_3
12726,Snow White: A Tale of Terror,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Michael Cohn,Universal Pictures,4_6_1_4_2_6
12727,Snow White and the Huntsman,"Action & Adventure, Drama, Science Fiction & Fantasy, Romance",Rupert Sanders,Universal Pictures,4_5_3_3_8
12728,Snowden,Drama,Oliver Stone,Open Road Films,7
12729,Snowmen,"Drama, Kids & Family",Robert Kirbyson,Cinedigm Entertainment,7
12730,Snowpiercer,Science Fiction & Fantasy,Bong Joon Ho,Radius-TWC,11
12731,The Snows of Kilimanjaro,"Action & Adventure, Classics, Drama",Henry King,20th Century Fox,3_5_2_11
12732,So B. It,Drama,Stephen Gyllenhaal,Outside The Box Film Partners,2_2_2
12733,So Close,"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy","Corey Yuen, Cory Yuen",Strand Releasing,2_5
12734,...So Goes the Nation,"Documentary, Special Interest","Adam Del Deo, James D. Stern",IFC,5_4_3_6
12735,So I Married an Axe Murderer,"Comedy, Romance",Thomas Schlamme,TriStar Pictures,2_1_7_2_3_8
12736,So Much So Fast,"Documentary, Special Interest, Sports & Fitness","Steven Ascher, Jeanne Jordan",Balcony Releasing,2_4_2_4
12737,So Undercover,"Action & Adventure, Comedy",Tom Vaughan,Open Road Films,2_10
12738,Soaked In Bleach,Drama,Benjamin Statler,Emerging Pictures,6_2_6
12739,Soapdish,Comedy,Michael Hoffman,Paramount Home Video,8
12740,S.O.B.,Comedy,Blake Edwards,Twentieth Century Fox Home Entertainment,6
12741,Sobibor,Drama,Konstantin Khabenskiy,Samuel Goldwyn Films,7
12742,Social Animals,"Comedy, Romance",Theresa Bennett,Vertical Entertainment,6_7
12743,Social Animals,Documentary,Jonathan Ignatius Green,Subconscious Films,6_7
12744,Society,"Classics, Horror, Mystery & Suspense",Brian Yuzna,Republic Pictures Home Video,7
12745,Socrates,Drama,Alexandre Moratto,Breaking Glass Pictures,8
12746,La Peau douce (The Soft Skin),"Art House & International, Drama, Romance",Fran�ois Truffaut,Cinema V,2_4_5_4_4_5
12747,Softness of Bodies,Comedy,Jordan Blady,,8_2_6
12748,Solace,"Drama, Mystery & Suspense",Afonso Poyart,Lionsgate Premiere,6
12749,Solarbabies,"Action & Adventure, Science Fiction & Fantasy",Alan Johnson,MGM Home Entertainment,11
12750,Solaris,"Drama, Mystery & Suspense, Science Fiction & Fantasy, Romance",Steven Soderbergh,20th Century Fox,7
12751,Soldier Blue,"Action & Adventure, Classics, Drama, Western",Ralph Nelson,LionsGate Entertainment,7_4
12752,Soldiers of Fortune,Action & Adventure,"Maxim Korostyshevsky, Maksim Korostyshevsky",Metro-Goldwyn-Mayer Studios Inc.,8_2_7
12753,A Soldier's Story,"Drama, Mystery & Suspense",Norman Jewison,Sony Pictures Home Entertainment,1_9_5
12754,The Solid Gold Cadillac,"Classics, Comedy, Romance",Richard Quine,Sony Pictures Entertainment,3_5_4_8
12755,Solis,"Action & Adventure, Science Fiction & Fantasy",Carl Strathie,Blue Fox Entertainment,5
12756,Solitary Man,"Comedy, Drama","Brian Koppelman, David Levien",Anchor Bay Films,8_3
12757,Solitude,"Comedy, Drama","Susan Kraker, Pi Ware",Indican,8
12758,Sollers Point,Drama,Matthew Porterfield,Oscilloscope Laboratories,7_5
12759,Solo,"Action & Adventure, Drama, Science Fiction & Fantasy",Norberto Barba,Sony Pictures Home Entertainment,4
12760,Solo: A Star Wars Story,"Action & Adventure, Drama, Science Fiction & Fantasy",Ron Howard,Walt Disney Pictures,5_1_4_4_5
12761,Solo Con Tu Pareja,"Art House & International, Comedy, Drama",Alfonso Cuar�n,IFC First Take,4_3_2_6
12762,The Soloist,"Drama, Musical & Performing Arts",Joe Wright,Dreamworks/Paramount,3_7
12763,Solomon and Sheba,"Classics, Drama, Romance",King Vidor,United Artists,7_3_5
12764,Solomon Kane,"Action & Adventure, Science Fiction & Fantasy",Michael J. Bassett,Radius-TWC,7_4
12765,Some Came Running,"Classics, Drama",Vincente Minnelli,MGM Home Entertainment,4_4_7
12766,Some Days Are Better Than Others,"Comedy, Drama",Matt McCormick,Palisades Tartan,4_4_3_6_4_6
12767,Some Freaks,"Comedy, Drama, Romance",Ian MacAllister McDonald,Good Deed Entertainment,4_6
12768,Some Girls,"Comedy, Drama",Michael Hoffman,MGM Home Entertainment,4_5
12769,Some Girl(s),"Comedy, Drama",Daisy von Scherler Mayer,Leeden Media,4_7
12770,Some Guy Who Kills People,"Comedy, Horror, Mystery & Suspense",Jack Perez,Lightning Media,4_3_3_5_6
12771,Some Kind of Beautiful,Comedy,Tom Vaughan,Lionsgate,4_4_2_9
12772,Some Kind of Hero,"Comedy, Drama",Michael Pressman,Paramount Pictures,4_4_2_4
12773,Some Kind of Wonderful,"Comedy, Drama, Romance",Howard Deutch,Paramount Home Video,4_4_2_9
12774,Some Like It Hot,"Classics, Comedy, Drama, Musical & Performing Arts","John Huston, Billy Wilder",United Artists,4_4_2_3
12775,Some Mother's Son,Drama,Terry George,Warner Home Video,4_8_3
12776,Some Velvet Morning,Drama,Neil LaBute,Tribeca Films,4_6_7
12777,Somebody Up There Likes Me,"Classics, Drama",Robert Wise,MGM Home Entertainment,8_2_5_5_2
12778,Somebody Up There Likes Me,Comedy,Bob Byington,Tribeca Film,8_2_5_5_2
12779,Someday This Pain Will Be Useful to You,"Comedy, Drama",Roberto Faenza,Film Buff,7_4_4_4_2_6_2_3
12780,Someone Great,"Comedy, Romance",Jennifer Kaytin Robinson,Netflix,7_5
12781,Someone to Love,"Comedy, Drama, Romance",Henry Jaglom,International Rainbow Pictures,7_2_4
12782,Someone to Watch over Me,"Action & Adventure, Drama, Mystery & Suspense",Ridley Scott,Sony Pictures Home Entertainment,7_2_5_4_2
12783,Somers Town,"Art House & International, Comedy, Drama",Shane Meadows,Film Movement,6_4
12784,Somersault,Drama,Cate Shortland,Magnolia Pictures,10
12785,Something,"Drama, Horror, Mystery & Suspense",Stephen Portland,,9
12786,Something Borrowed,"Comedy, Drama, Science Fiction & Fantasy, Romance",Luke Greenfield,Warner Bros.,9_8
12787,Something from Nothing: The Art of Rap,"Documentary, Musical & Performing Arts","Ice-T, Andy Baybutt",Indomina Media,9_4_8_3_3_2_3
12788,Something in the Air,Drama,Olivier Assayas,IFC Films,9_2_3_3
12789,Something Like Happiness,"Art House & International, Comedy, Drama",Bohdan Sl�ma,Bontonfilm,9_4_9
12790,Something New,"Comedy, Drama, Romance",Sanaa Hamri,Focus Features,9_3
12791,Something to Cheer About,"Documentary, Special Interest, Sports & Fitness",Betsy Blankenbaker,Truly Indie,9_2_5_5
12792,Something to Talk About,"Comedy, Drama, Romance",Lasse Hallstrom,Warner Home Video,9_2_4_5
12793,Something Wild,"Art House & International, Comedy, Drama",Jonathan Demme,Orion Pictures Corporation,9_4
12794,Something's Gotta Give,"Comedy, Romance",Nancy Meyers,Sony Pictures,11_5_4
12795,Sometimes a Great Notion (Never Give an Inch),"Action & Adventure, Classics, Drama",Paul Newman,Universal Pictures,9_1_5_6_6_4_2_5
12796,Sometimes They Come Back...for More,Horror,"William Berke, Daniel Berk",Trimark,9_4_4_10_4
12797,Somewhere,"Comedy, Drama",Sofia Coppola,Focus Features,9
12798,Somewhere Between,"Documentary, Special Interest",Linda Goldstein Knowlton,Long Shot Factory,9_7
12799,Somewhere in the Night,"Classics, Drama, Mystery & Suspense",Joseph L. Mankiewicz,Twentieth Century Fox,9_2_3_5
12800,Somewhere in Time,"Drama, Science Fiction & Fantasy, Romance",Jeannot Szwarc,MCA Universal Home Video,9_2_4
12801,Sommersby,"Drama, Mystery & Suspense, Romance",Jon Amiel,Warner Bros. Pictures,9
12802,Son of Godzilla,"Art House & International, Classics, Comedy, Horror, Science Fiction & Fantasy",Jun Fukuda,Sony Pictures Home Entertainment,3_2_8
12803,Son-in-Law,Comedy,Steve Rash,Buena Vista,10
12804,Son of a Gun,Drama,Julius Avery,A24 and DIRECTV,3_2_1_3
12805,Son of Batman,"Action & Adventure, Animation",Ethan Spaulding,WARNER BROTHERS PICTURES,3_2_6
12806,Son of Bigfoot,"Action & Adventure, Animation, Kids & Family","Jeremy Degruson, Ben Stassen",DIRECTV and Viva Pictures,3_2_7
12807,Son of Flubber,"Classics, Comedy, Kids & Family, Science Fiction & Fantasy",Robert Stevenson,Walt Disney Productions,3_2_7
12808,Son of Frankenstein,"Classics, Horror, Science Fiction & Fantasy",Rowland V. Lee,MCA Universal Home Video,3_2_12
12809,Son Of God,Drama,"Christopher Spencer, Crispin Reece, Tony Mitchell",20th Century Fox,3_2_3
12810,Son of Kong,"Action & Adventure, Classics, Comedy, Horror",Ernest B. Schoedsack,Warner Home Video,3_2_4
12811,Son of Man,"Art House & International, Drama, Faith & Spirituality",Mark Dornford-May,,3_2_3
12812,Son of Rambow,Comedy,Garth Jennings,Paramount Vantage,3_2_6
12813,Son of Saul,Drama,L�szl� Nemes,Sony Pictures Classics,3_2_4
12814,Son of the Mask,"Comedy, Science Fiction & Fantasy",Lawrence Guterman,New Line Cinema,3_2_3_4
12815,Son of the Pink Panther,Comedy,Blake Edwards,MGM,3_2_3_4_7
12816,Sonatine,"Action & Adventure, Art House & International, Drama, Mystery & Suspense",Takeshi Kitano,Miramax,8
12817,The Song of Bernadette,"Classics, Drama, Faith & Spirituality",Henry King,Twentieth Century Fox Home Entertainment,3_4_2_10
12818,Song of Granite,"Art House & International, Documentary, Drama",Pat Collins,Marcie Films Limited,4_2_7
12819,Avaze gonjeshk-ha (The Song of Sparrows),"Art House & International, Drama",Majid Majidi,Regent Releasing,5_11_4_4_2_9
12820,Song Of The Sea,"Animation, Kids & Family, Science Fiction & Fantasy",Tomm Moore,GKIDS,4_2_3_3
12821,Song of the Thin Man,"Action & Adventure, Classics, Comedy, Drama, Mystery & Suspense","Edward Buzzell, Edward N. Buzzell",MGM Home Entertainment,4_2_3_4_3
12822,Song One,"Drama, Romance",Kate Barker-Froyland,Film Arcade,4_3
12823,The Song Remains The Same,"Documentary, Musical & Performing Arts","Peter Clifton, Joe Massot",WARNER BROTHERS PICTURES,3_4_7_3_4
12824,Song to Song,"Comedy, Drama",Terrence Malick,Broad Green Pictures,4_2_4
12825,Song Without End,"Classics, Drama, Musical & Performing Arts","George Cukor, Charles Vidor",Sony Pictures Entertainment,4_7_3
12826,Songcatcher,"Drama, Musical & Performing Arts, Romance",Maggie Greenwald,Lions Gate,11
12827,Songs From The North,"Documentary, Special Interest",Soon-Mi Yoo,Kino Lorber,5_4_3_5
12828,Songs My Brothers Taught Me,Drama,Chlo� Zhao,Highwayman Films,5_2_8_6_2
12829,Soni,"Art House & International, Drama",Ivan Ayr,Jabberwockee Talkies,4
12830,The Sons of Katie Elder,"Action & Adventure, Drama, Western",Henry Hathaway,Paramount Pictures,3_4_2_5_5
12831,Sons of Perdition,"Documentary, Special Interest","Tyler Measom, Jennilyn Merten",In Exhile Films,4_2_9
12832,Sophie and the Rising Sun,Drama,Maggie Greenwald,Monterey Media,6_3_3_6_3
12833,Sophie's Choice,"Drama, Romance",Alan J. Pakula,Twentieth Century Fox Home Entertainment,8_6
12834,The Sorcerers,Horror,Michael Reeves,Global,3_9
12835,The Sorcerer's Apprentice,"Action & Adventure, Comedy, Drama, Kids & Family, Science Fiction & Fantasy","Jon Turtletaub, Jon Turteltaub",Walt Disney Studios,3_10_10
12836,Sordid Lives,"Comedy, Drama",Del Shores,Regent Entertainment,6_5
12837,Sorority Boys,Comedy,Wallace Wolodarsky,Touchstone Pictures,8_4
12838,Sorority Row,Horror,Stewart Hendler,Summit Entertainment,8_3
12839,"Sorry, Haters","Drama, Mystery & Suspense",Jeff Stanzler,IFC Films,6_6
12840,Sorry to Bother You,"Comedy, Science Fiction & Fantasy",Boots Riley,Annapurna Pictures,5_2_6_3
12841,Soul Boys Of The Western World,"Documentary, Musical & Performing Arts, Special Interest",George Hencken,IFC Films,4_4_2_3_7_5
12842,Soul Man,Comedy,Steve Miner,New World Video,4_3
12843,Soul on a String,"Art House & International, Drama",Zhang Yang,,4_2_1_6
12844,Soul Plane,Comedy,Jessy Terrero,MGM,4_5
12845,Soul Power,"Documentary, Musical & Performing Arts",Jeffrey Levy-Hinte,Sony Pictures Classics,4_5
12846,Soul Surfer,"Action & Adventure, Drama, Sports & Fitness",Sean McNamara,TriStar/FilmDistrict,4_6
12847,Soul Survivors,"Comedy, Horror, Mystery & Suspense",Stephen Carpenter,Artisan Entertainment,4_9
12848,SoulMate,"Art House & International, Drama, Romance",Derek Tsang,Cheng Cheng Films,8
12849,Sound and Fury,"Documentary, Special Interest",Josh Aronson,Artistic License Films,5_3_4
12850,Sound City,"Documentary, Musical & Performing Arts",Dave Grohl,Variance Films,5_4
12851,The Sound of Music,"Classics, Drama, Kids & Family, Musical & Performing Arts",Robert Wise,20th Century-Fox,3_5_2_5
12852,Sound of My Voice,"Drama, Mystery & Suspense",Zal Batmanglij,20th Century Fox,5_2_2_5
12853,Sound of Noise,"Action & Adventure, Art House & International, Comedy, Musical & Performing Arts, Mystery & Suspense, Romance","Ola Simonsson, Johannes Stjaerne Nilsson",Magnolia Pictures,5_2_5
12854,Sound of Redemption: The Frank Morgan Story,Documentary,N.C. Heikin,Hieronymus Pictures,5_2_11_3_5_6_5
12855,A Sound of Thunder,"Action & Adventure, Drama, Horror, Science Fiction & Fantasy","Ben Kingsley, Peter Hyams",Warner Bros.,1_5_2_7
12856,Soundtrack For A Revolution,"Documentary, Musical & Performing Arts","Dan Sturman, Bill Guttentag",Docurama,10_3_1_10
12857,Sour Grapes,Comedy,Larry David,Warner Home Video,4_6
12858,Source Code,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Duncan Jones,Summit Entertainment,6_4
12859,South Central,"Drama, Mystery & Suspense",Steve Anderson,Warner Home Video,5_7
12860,"South of Heaven, West of Hell","Action & Adventure, Art House & International, Drama, Western",Dwight Yoakam,Phaedra Cinema,5_2_7_4_2_4
12861,South of the Border,"Documentary, Special Interest",Oliver Stone,Cinema Libre,5_2_3_6
12862,South Pacific,"Classics, Drama, Musical & Performing Arts, Special Interest, Romance",Joshua Logan,Twentieth Century Fox Home Entertainment,5_7
12863,"South Park: Bigger, Longer & Uncut","Animation, Comedy, Musical & Performing Arts, Special Interest",Trey Parker,Paramount Pictures,5_5_7_6_1_5
12864,Southbound,"Horror, Mystery & Suspense, Science Fiction & Fantasy","David Bruckner, Patrick Horvath, Roxanne Benjamin",,10
12865,Southern Baptist Sissies,"Comedy, Drama",Del Shores,Beard Collins Shores Productions,8_7_7
12866,The Southerner,"Classics, Drama",Jean Renoir,VCI,3_10
12867,Southie,"Action & Adventure, Drama, Mystery & Suspense",John Shea,Lionsgate,7
12868,Southland Tales,"Comedy, Musical & Performing Arts, Mystery & Suspense, Science Fiction & Fantasy",Richard Kelly,Samuel Goldwyn Films,9_5
12869,Southlander: Diary of a Desperate Musician,"Comedy, Drama, Musical & Performing Arts, Special Interest",Steven Hanft,MVD Music Video,12_5_2_1_9_8
12870,Southpaw,Drama,Antoine Fuqua,The Weinstein Company,8
12871,Southside With You,"Drama, Romance",Richard Tanne,Miramax and Roadside Attractions,9_4_3
12872,Soylent Green,"Classics, Drama, Mystery & Suspense, Science Fiction & Fantasy",Richard Fleischer,WARNER BROTHERS PICTURES,7_5
12873,Space Chimps 2: Zartog Strikes Back,"Animation, Kids & Family",John H. Williams,20th Century Fox,5_6_2_6_7_4
12874,Space Cowboys,"Action & Adventure, Comedy, Drama, Science Fiction & Fantasy",Clint Eastwood,Warner Bros. Pictures,5_7
12875,Space Jam,"Comedy, Kids & Family",Joe Pytka,Warner Home Video,5_3
12876,Space Station 76,"Comedy, Drama, Science Fiction & Fantasy",Jack Plotnick,Sony Pictures,5_7_2
12877,Space Truckers,"Art House & International, Comedy, Science Fiction & Fantasy",Stuart Gordon,Sterling Entertainment,5_8
12878,Spaceballs,"Comedy, Science Fiction & Fantasy, Special Interest",Mel Brooks,MGM,10
12879,Spaced Invaders,"Comedy, Science Fiction & Fantasy",Patrick Read Johnson,Touchstone Pictures,6_8
12880,Spacehunter: Adventures in the Forbidden Zone,Science Fiction & Fantasy,Lamont Johnson,Columbia Pictures,12_10_2_3_9_4
12881,Spaceman,Drama,Brett Rapkin,Podium Pictures,8
12882,Spanglish,"Comedy, Drama",James L. Brooks,Sony Pictures Entertainment,9
12883,Spanish Lake,Documentary,Phillip Andrew Morton,,7_4
12884,The Spanish Prisoner,"Drama, Mystery & Suspense",David Mamet,Sony Pictures Classics,3_7_8
12885,Spare Parts,"Drama, Kids & Family",Sean McNamara,Pantelion Films,5_5
12886,Spark: A Burning Man Story,"Documentary, Special Interest","Jessie Deeter, Steve Brown",Paladin Films,6_1_7_3_5
12887,Spark: A Space Tail,"Action & Adventure, Animation, Comedy, Kids & Family, Science Fiction & Fantasy",Aaron Woodley,Open Road Films,6_1_5_4
12888,Sparkle,Comedy,"Tom Hunsinger, Neil Hunter",Revolver Entertainment,7
12889,Sparkle,"Drama, Musical & Performing Arts",Salim Akil,Sony Pictures,7
12890,Sparks,"Action & Adventure, Drama, Mystery & Suspense","Todd Burrows, Christopher Folino",,6
12891,Spartan,"Action & Adventure, Art House & International, Mystery & Suspense",David Mamet,Warner Bros. Pictures,7
12892,Spawn,"Action & Adventure, Animation, Horror, Mystery & Suspense, Science Fiction & Fantasy",Mark A.Z. Dipp�,New Line Home Entertainment,5
12893,Speak,Drama,"Paul Galichia, Brian Weidling",Laemmle,5
12894,Speak The Music: Robert Mann And The Mysteries Of Chamber Music,Documentary,Allan Miller,First Run Features,5_3_6_6_4_3_3_9_2_7_5
12895,Special,Drama,"Hal Haberman, Jeremy Passmore",Magnet Releasing,7
12896,Special Correspondents,Comedy,Ricky Gervais,Netflix,7_14
12897,Una Giornata Particolare (A Special Day),"Art House & International, Drama, Romance",Ettore Scola,,3_8_11_2_7_4
12898,Special Effects,"Drama, Horror, Mystery & Suspense",Larry Cohen,New Line Cinema,7_7
12899,Special Forces,"Action & Adventure, Drama",St�phane Rybojad,Entertainment One,7_6
12900,Special ID,"Action & Adventure, Drama, Mystery & Suspense","Clarence Yiu-leung Fok, Clarence Fok",Well Go USA,7_2
12901,Special Treatment,"Art House & International, Drama",Jeanne Labrune,First Run Features,7_9
12902,Species,Science Fiction & Fantasy,Roger Donaldson,MGM Home Entertainment,7
12903,Species II,"Mystery & Suspense, Science Fiction & Fantasy",Peter Medak,MGM,7_2
12904,Species III,"Drama, Science Fiction & Fantasy",Brad Turner,MGM,7_3
12905,Spectre,Action & Adventure,Sam Mendes,Sony Pictures,7
12906,Speech & Debate,"Comedy, Drama",Dan Harris,Sycamore Pictures,6_1_6
12907,Speed,"Action & Adventure, Mystery & Suspense",Jan de Bont,20th Century Fox,5
12908,Speed 2 - Cruise Control,"Action & Adventure, Mystery & Suspense",Jan de Bont,Fox,5_1_1_6_7
12909,Speed-Dating,Comedy,Joseph A. Elmore Jr.,Rockstone Releasing,12
12910,Speed Kills,Action & Adventure,Jodi Scurfield,Saban Films,5_5
12911,Speed Racer,"Action & Adventure, Drama","Lilly Wachowski, Lana Wachowski",Warner Bros. Pictures,5_5
12912,Speed Sisters,Documentary,Amber Fares,SocDoc Studios,5_7
12913,Speedway Junky,"Action & Adventure, Art House & International, Drama",Nickolas Perry,Regent Releasing,8_5
12914,Speedy,"Action & Adventure, Comedy",Ted Wilde,Criterion Collection,6
12915,Breakaway,"Art House & International, Comedy, Drama",Robert H. Lieberman,Eros International,9
12916,Sphere,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Barry Levinson,Warner Home Video,6
12917,Spice World,Comedy,Bob Spiers,Sony Pictures Entertainment,5_5
12918,Spider Baby,"Classics, Comedy, Horror",Jack Hill,Johnny Legend Cinemania,6_4
12919,Spider in the Web,"Drama, Mystery & Suspense",Eran Riklis,Vertical Entertainment,6_2_3_3
12920,Spider-Man: Far From Home,"Action & Adventure, Science Fiction & Fantasy",Jon Watts,Sony Pictures,11_3_4_4
12921,Spider-Man: Homecoming,"Action & Adventure, Drama, Science Fiction & Fantasy",Jon Watts,Sony Pictures,11_10
12922,Spider-Man: Into the Spider-Verse,"Action & Adventure, Animation, Kids & Family, Science Fiction & Fantasy","Bob Persichetti, Peter Ramsey, Rodney Rothman",Sony Pictures,11_4_3_12
12923,Spiderhole,"Art House & International, Horror, Mystery & Suspense",Daniel Simpson,IFC Midnight,10
12924,Spider-Man,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Sam Raimi,Columbia Pictures,10
12925,Spider-Man 2,"Action & Adventure, Science Fiction & Fantasy",Sam Raimi,Sony Pictures,10_1
12926,Spider-Man 3,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Sam Raimi,Sony Pictures,10_1
12927,Spiders,Mystery & Suspense,Tibor Tak�cs,Nu Image Films/Millenium Entertainment,7
12928,"Spiders, Part 1: The Golden Lake (Die Spinnen, 1. Teil - Der Goldene See)","Action & Adventure, Western",Fritz Lang,,8_4_2_3_6_4_4_8_2_4_1_3_7_4
12929,The Spiderwick Chronicles,"Action & Adventure, Drama, Science Fiction & Fantasy",Mark Waters (VIII),Paramount Pictures,3_10_10
12930,Spies Like Us,"Action & Adventure, Comedy, Mystery & Suspense",John Landis,Warner Home Video,5_4_2
12931,Spike Island,Drama,Mat Whitecross,Level 33 Entertainment/Alchemy,5_6
12932,Spin Out,"Comedy, Romance","Tim Ferguson, Marc Gracie",Stella Rose Productions,4_3
12933,Spine Tingler: The William Castle Story,"Documentary, Television",Jeffrey Schwarz,Automat Pictures,5_8_3_7_6_5
12934,Spinning Into Butter,Drama,Mark Brokaw,Screen Media Films,8_4_6
12935,Spinning Man,Mystery & Suspense,Simon Kaijser,Lionsgate Premiere,8_3
12936,Spinning Plates,"Documentary, Special Interest",Joseph Levy,The Film Arcade,8_6
12937,Spiral,Documentary,Laura Fairrie,Cohen Media Group,6
12938,The Spirit of '76,"Comedy, Musical & Performing Arts, Science Fiction & Fantasy",Lucas Reiner,Sony Pictures Home Entertainment,3_6_2_3
12939,The Spirit of St. Louis,"Action & Adventure, Classics, Drama",Billy Wilder,Warner Home Video,3_6_2_3_5
12940,Spirit - Stallion of the Cimarron,"Animation, Drama, Kids & Family","Lorna Cook, Kelly Asbury",DreamWorks SKG,6_1_8_2_3_8
12941,Spirit Trap,Horror,David Smith,First Look Home Entertainment,6_4
12942,The Spitfire Grill,Drama,Lee David Zlotoff,Sony Pictures Home Entertainment,3_8_5
12943,Splendor in the Grass,"Classics, Drama, Romance",Elia Kazan,Warner Home Video,8_2_3_5
12944,Splintered,"Horror, Mystery & Suspense",Simeon Halligan,Not a Number,10
12945,Splinters,"Documentary, Sports & Fitness",Adam Pesce,Snag Films,9
12946,Split,"Drama, Horror, Mystery & Suspense",M. Night Shyamalan,Universal Pictures,5
12947,Spoken Word,Drama,Victor Nu�ez,Variance Films,6_4
12948,The Spongebob Squarepants Movie,"Animation, Comedy, Kids & Family, Special Interest",,Paramount Pictures,3_9_11_5
12949,Spork,"Comedy, Drama",J.B. Guhman,Independent Pictures,5
12950,Spotlight,"Drama, Mystery & Suspense",Tom McCarthy,Open Road Films,9
12951,Spread,Comedy,David Mackenzie,Anchor Bay,6
12952,Spring,"Horror, Science Fiction & Fantasy, Romance","Aaron Moorhead, Justin Benson",Drafthouse Films,6
12953,Spring Breakdown,Comedy,Ryan Shiraki,WARNER BROTHERS PICTURES,6_9
12954,Spring Breakers,"Action & Adventure, Art House & International, Comedy, Cult Movies, Drama",Harmony Korine,A24 Films,6_8
12955,Spring Forward,Drama,Tom Gilroy,MGM Home Entertainment,6_7
12956,"Spring, Summer, Fall, Winter...and Spring","Art House & International, Drama",Kim Ki-duk,Sony Pictures Classics,7_7_5_12_6
12957,Springsteen And I,"Documentary, Musical & Performing Arts, Special Interest",Baillie Walsh,NCM Fathom,11_3_1
12958,Springsteen on Broadway,"Documentary, Musical & Performing Arts",Thom Zimny,Netflix,11_2_8
12959,Springtime in a Small Town (Xiao cheng zhi chun),"Art House & International, Drama",Tian Zhuangzhuang,Palm Pictures,10_2_1_5_4_5_5_3_5
12960,Sprinter,Drama,Storm Saulter,FilmRise,8
12961,Spun,"Comedy, Drama",Jonas �kerlund,Newmarket Films,4
12962,Spy,Comedy,Paul Feig,20th Century Fox,3
12963,Spy Game,"Action & Adventure, Drama, Mystery & Suspense",Tony Scott,Universal Pictures,3_4
12964,Spy Hard,"Action & Adventure, Comedy",Rick Friedberg,Hollywood Pictures,3_4
12965,Spy Kids,"Action & Adventure, Comedy, Kids & Family, Mystery & Suspense",Robert Rodriguez,Dimension Films,3_4
12966,Spy Kids 2: The Island of Lost Dreams,"Action & Adventure, Kids & Family, Mystery & Suspense",Robert Rodriguez,Dimension Films,3_4_2_3_6_2_4_6
12967,Spy Kids 3-D - Game Over,"Action & Adventure, Comedy, Kids & Family, Mystery & Suspense",Robert Rodriguez,Dimension Films,3_4_3_1_4_4
12968,Spy Kids: All the Time in the World in 4D,"Action & Adventure, Comedy, Kids & Family, Mystery & Suspense, Science Fiction & Fantasy",,Weinstein Company,3_5_3_3_4_2_3_5_2_2
12969,The Spy Next Door,"Action & Adventure, Comedy",Brian Levant,Lionsgate,3_3_4_4
12970,The Spy Who Loved Me,"Action & Adventure, Mystery & Suspense",Lewis Gilbert,United Artists,3_3_3_5_2
12971,Squanto: A Warrior's Tale,"Action & Adventure, Drama, Kids & Family","Xavier Koller, Christopher Stoia",Walt Disney Productions,8_1_9_4
12972,Square Grouper: The Godfathers of Ganja,"Comedy, Documentary, Drama, Special Interest",Billy Corben,Magnolia Pictures,6_8_3_10_2_5
12973,The Squid and the Whale,"Art House & International, Drama",Noah Baumbach,Samuel Goldwyn Films,3_5_3_3_5
12974,St. Agatha,"Horror, Mystery & Suspense",,Uncork'd Entertainment,3_6
12975,St. Bernard Syndicate,"Art House & International, Comedy",Mads Br�gger,Uncork'd Entertainment,3_7_9
12976,St. Elmo's Fire,"Drama, Romance",Joel Schumacher,Sony Pictures Home Entertainment,3_6_4
12977,St. Ives,Mystery & Suspense,J. Lee Thompson,WARNER BROTHERS PICTURES,3_4
12978,St. Trinian's,Comedy,"Barnaby Thompson, Oliver Parker",NeoClassics Films,3_9
12979,St Trinian's II: The Legend of Fritton's Gold,"Action & Adventure, Comedy","Oliver Parker, Barnaby Thompson",PreviewNetworks,2_9_3_3_6_2_9_4
12980,St. Vincent,Comedy,Ted Melfi,The Weinstein Company,3_7
12981,Stage Beauty,"Comedy, Drama, Romance",Richard Eyre,Lions Gate Films,5_6
12982,Stage Door,"Classics, Comedy, Drama",Gregory La Cava,Warner Home Video,5_4
12983,Stage Fright,Horror,Jerome Sable,Entertainment One,5_6
12984,Stake Land,Horror,Jim Mickle,IFC,5_4
12985,Stalag 17,"Action & Adventure, Classics, Comedy, Drama",Billy Wilder,Paramount Home Video,6_2
12986,Stalingrad,"Action & Adventure, Art House & International, Drama","Fyodor Bondarchuk, Fedor Bondarchuk",Sony Pictures,10
12987,Stan Helsing,"Comedy, Horror",Bo Zenga,Anchor Bay Entertainment,4_7
12988,Stand by Me,"Action & Adventure, Drama",Rob Reiner,MCA Universal Home Video,5_2_2
